ID,Question,Vraie,IA,Score,Soutien NLI
21347,"Parmi les maladies suivantes, quelle(s) est(sont) ...","A,B,C,D,E","A,E",0.4,0.0
3208,"Parmi les critères suivants, lequel ou lesquels a(...","C,D,E","C,D",0.67,0.0
1120,Devant une tachycardie ventriculaire soutenue et b...,"B,D",B,0.5,0.0
12201,L'induction enzymatique est une propriété :...,"B,D","B,D",1.0,0.01
13021,"Au bout de 24 heures, son état s'aggrave. Parmi le...","A,B,C,D","A,B,C",0.75,0.0
7225,L'anatoxine tétanique est pratiquement applicable ...,"A,E","A,E",1.0,0.03
6557,Un sujet en coma dépassé :...,"B,E","B,C",0.33,0.0
3464,L'IgG3 se distingue des autres sous-classes d'lgG ...,"A,C,D","A,C",0.67,0.0
6127,Le(s)quel(s) de ces 5 éléments peu(ven)t être incr...,"A,D","A,D",1.0,0.01
19126,Sur quel(s) élément(s) allez-vous juger de l'effic...,"A,B,D","A,B,D",1.0,0.0
2815,L'hémogramme d'une anémie de Biermer typique et no...,"A,B,E","B,D,E",0.5,0.0
8622,Le syndrome de Wallenberg :...,"A,B",A,0.5,0.0
14434,Un malade présente une insuffisance aortique. Parm...,"B,D","B,D",1.0,0.0
462,Une adénopathie métastatique isolée sus-claviculai...,"B,C","A,E",0.0,0.0
17562,Quel(s) diagnostic(s) portez-vous ?...,"B,C","B,C",1.0,0.0
9887,La paralysie du VI droit comporte :...,"C,E",B,0.0,0.04
3342,Parmi les substances libérées par les Iymphocytes ...,"A,B,C,D","A,B,C",0.75,0.0
2408,La consanguinité :...,"C,D",D,0.5,0.0
20201,"Une jeune fille de 16 ans, à la charge des ses par...","A,B,C","A,C",0.67,0.0
20606,Une telle angine peut se compliquer de:...,"A,C",A,0.5,0.0
14058,"La fréquence de la trisomie 21 est, à la naissance...","A,C",A,0.5,0.0
9983,Indiquer le(s) facteur(s) qui intervien(nen)t dans...,"C,D","C,E",0.33,0.0
16764,"Parmi les causes suivantes, éventuellement curable...","B,C","B,C",1.0,0.02
10086,Lors d'une instillation prolongée d'un collyre cor...,"A,E","A,B",0.33,0.06
1251,L'hépatomégalie de l'insuffisance cardiaque droite...,"B,D,E","C,D",0.25,0.12
12917,L'initiation de l'antibiothérapie nécessite de vér...,"A,B,C","C,E",0.25,0.0
4237,Un malade a une constipation chronique. Parmi ces ...,"A,E","A,D,E",0.67,0.0
15546,Quelles est ou quelles sont ce (ces) manifestation...,"A,C,D","A,C,D",1.0,0.0
17424,"Deux mois plus tard, la surveillance portera sur :...","A,B,C","A,E",0.25,0.0
1361,"Au cours d'une péricardite aiguë, l'ECG peut montr...","A,B,C","A,B,C,E",0.75,0.0
4034,Parmi les propositions suivantes concernant le tra...,"A,D","A,C,D",0.67,0.01
7599,Quel(s) autre(s) signes(s) d'examen pouvez-vous re...,"A,B,C,E","A,B,E",0.75,0.01
15223,Comment allez-vous transporter idéalement un polyt...,"C,D",C,0.5,0.0
2837,Un inhibiteur acquis de type anti-prothrombinase e...,"B,C","B,C",1.0,0.0
12454,L'auscultation pulmonaire révèle chez un sujet âgé...,"A,D,E",A,0.33,0.0
16851,La séméiologie du syndrome de Cushing comporte cla...,"A,C,D","A,C,D",1.0,0.0
8992,Indiquez parmi les symptômes suivants celui ou ceu...,"A,C","A,E",0.33,0.03
21108,La surveillance fait appel à :...,"A,B,C,D,E","B,C,E",0.6,0.0
20187,Le séminome pur est une tumeur :...,"B,C,D","B,D",0.67,0.0
5513,Le ou les signes faisant craindre l'apparition d'u...,"A,B,E","A,B,E",1.0,0.0
