Question,Vraie,IA,Score,Soutien NLI
(cochez la réponse juste) Il est logique de :...,A,D,0%,0.37
Quel est votre diagnostic ?...,A,A,100%,0.0
Un homme de 30 ans présente une pneumopathie non s...,D,D,100%,0.01
la valeur de cet indice est:...,A,C,0%,0.01
Au cours d'une maladie de Paget vous devez craindr...,D,"A,C",0%,0.0
"Parmi les propositions suivantes, laquelle(lesquel...",A,"A,B,D",33%,0.97
La survenue d'une phlébite du membre inférieur doi...,C,C,100%,0.16
Quelle est l'alcoolémie la plus vraisemblable chez...,D,A,0%,0.95
Quel est le diurétique qui bloque les sites d'écha...,A,A,100%,0.0
La fistule anale :	(Cocher la réponse juste)...,E,E,100%,0.01
La pyélonéphrite emphysémateuse est le plus souven...,A,E,0%,0.0
"Quel trouble rythmique paroxystique, en fonction d...",D,D,100%,0.02
La rubéole congénitale entraîne toutes ces complic...,B,D,0%,0.98
(cochez la réponse juste) Malgré un traitement bie...,B,B,100%,0.95
(cochez la réponse juste) Au terme d'une grossesse...,A,"A,E",50%,0.0
Toutes les professions suivantes exposent au risqu...,B,B,100%,0.04
(cochez la réponse juste) En raison de la gravité ...,A,C,0%,0.4
Le médicament efficace contre l'Ankylostomose est ...,A,"A,D",50%,0.0
(cochez la réponse juste) Par quel examen morpholo...,B,A,0%,0.03
Cette femme est déjà mère de deux enfants. A propo...,E,C,0%,0.0
"Dans la classification T N M., le cancer de cette ...",D,C,0%,0.94
Au cours du cycle évolutif de Plasmodium falciparu...,A,B,0%,0.31
Les propositions suivantes sont en faveur d'une oc...,E,E,100%,0.1
(cochez la réponse juste) Que proposez vous a cett...,D,A,0%,0.41
"Dans une surdité de transmission unilatérale, le W...",C,C,100%,0.0
La vaccination contre le tétanos fait appel aux in...,B,B,100%,0.0
(cochez la réponse fausse) Les signes cliniques év...,C,C,100%,0.97
Les propositions suivantes concernant la Brucellos...,A,A,100%,0.01
(cochez la réponse juste) Si vous retenez ce diagn...,C,C,100%,0.0
"Parmi les explorations suivantes, quelle(s) est (s...",E,"B,E",50%,0.0
Lorsqu'un médecin du travail constate chez un sala...,C,"B,E",0%,0.02
L'hémoglobine glycosylée :...,B,B,100%,0.03
Un nourrisson de 5 mois que vous suivez pour mucov...,B,C,0%,0.01
Un de ces signes n'est pas typique d'une sciatique...,E,E,100%,0.0
"Une échographie hépato-bitiaire est réalisée.
En ...",E,E,100%,0.0
(cochez la réponse juste) Dans les suites post-opé...,C,A,0%,0.02
Selon la règle des 9 de Wallace chez l'adulte dans...,C,C,100%,0.85
"Parmi les goîtres ci-après, définis par leurs cara...",C,C,100%,1.0
Quelle mesure thérapeutique préconisez-vous ?...,E,"A,D",0%,0.0
(cochez la réponse juste) Le traitement médical pe...,A,C,0%,0.1
"Parmi les signes oculaires suivants, indiquez celu...",B,"A,B",50%,0.26
La radiographie du genou droit montre un trait de ...,B,B,100%,0.31
"Que comportera l'ordonnance à la sortie :
1. Corti...",B,C,0%,0.39
(cochez la réponse juste) Lequel de ces médicament...,E,B,0%,0.02
(cochez la réponse fausse) La notion de fièvre éle...,B,D,0%,0.01
"Après traitement correct d'une fièvre typhoïde, un...",B,B,100%,0.0
La paraphrénie est:...,A,A,100%,0.97
Un traitement associant Alkéran® et Prednisone® es...,A,A,100%,0.0
(cochez la réponse fausse) La lésion de dégénéresc...,A,A,100%,0.06
Parmi les propositions suivantes concernant l'inde...,D,D,100%,0.0
(cochez la réponse juste) Une acidose métabolique ...,B,B,100%,0.06
(cochez la réponse juste) La (les) conséquence (s)...,E,,0%,0.25
"Parmi les diagnostics suivants, lequel retenez-vou...",D,C,0%,0.04
"Les résultats des enzymes sériques, effectuées à l...",E,B,0%,0.13
Si vous avez opté pour une attitude d'expectative ...,C,B,0%,0.0
Un homme de 26 ans est hospitalisé pour une plaie ...,E,C,0%,0.97
(cochez la réponse fausse) L'apoptose :...,E,E,100%,0.0
Quel germe est habituellement en cause au cours de...,C,D,0%,0.15
"Au cours du carcinome in-situ du Col utérin:
1.	Le...",A,A,100%,0.02
"A l'examen au spéculum, vous retrouvez une formati...",E,"C,D",0%,0.58
"Selon les critères utilisés en obstétrique, une fe...",C,C,100%,0.01
"(cochez la réponse juste)
Une échographie abdomin...",B,"A,B",50%,0.0
(cochez la réponse juste) Les lésions radiologique...,B,B,100%,0.18
"Une hyperchylomicronémie :
1 - Peut être détectée ...",A,B,0%,0.03
Chez la femme atteinte d'incontinence urinaire d'e...,B,A,0%,0.0
"A la fin de la gestation, la barrière fœto-materne...",A,"A,C",50%,0.68
"Pendant une lipothymie, l'enregistrement continu d...",D,D,100%,0.0
"Sur la radiographie thoracique, y a-t-il un signe ...",A,B,0%,0.0
