Question,Vraie,IA,Correct,Soutien NLI
(cochez la réponse juste) Il est logique de :...,A,D,False,0.0
Quel est votre diagnostic ?...,A,A,True,0.0
Un homme de 30 ans présente une pneumopathie non s...,D,"B,D",True,0.0
la valeur de cet indice est:...,A,C,False,1.0
Au cours d'une maladie de Paget vous devez craindr...,D,"A,C",False,0.0
"Parmi les propositions suivantes, laquelle(lesquel...",A,"A,D",True,0.17
La survenue d'une phlébite du membre inférieur doi...,C,C,True,0.0
Quelle est l'alcoolémie la plus vraisemblable chez...,D,B,False,0.0
Quel est le diurétique qui bloque les sites d'écha...,A,"B,C",False,0.0
La fistule anale :	(Cocher la réponse juste)...,E,E,True,0.0
La pyélonéphrite emphysémateuse est le plus souven...,A,E,False,0.01
"Quel trouble rythmique paroxystique, en fonction d...",D,D,True,0.0
La rubéole congénitale entraîne toutes ces complic...,B,D,False,0.0
(cochez la réponse juste) Malgré un traitement bie...,B,B,True,0.0
(cochez la réponse juste) Au terme d'une grossesse...,A,"A,E",True,0.0
Toutes les professions suivantes exposent au risqu...,B,B,True,0.0
(cochez la réponse juste) En raison de la gravité ...,A,A,True,0.0
Le médicament efficace contre l'Ankylostomose est ...,A,"A,D",True,0.02
(cochez la réponse juste) Par quel examen morpholo...,B,A,False,0.0
Cette femme est déjà mère de deux enfants. A propo...,E,B,False,0.99
"Dans la classification T N M., le cancer de cette ...",D,C,False,0.01
Au cours du cycle évolutif de Plasmodium falciparu...,A,B,False,0.04
Les propositions suivantes sont en faveur d'une oc...,E,"D,E",True,0.0
(cochez la réponse juste) Que proposez vous a cett...,D,"A,D",True,0.0
"Dans une surdité de transmission unilatérale, le W...",C,C,True,0.0
La vaccination contre le tétanos fait appel aux in...,B,B,True,0.0
(cochez la réponse fausse) Les signes cliniques év...,C,C,True,0.0
Les propositions suivantes concernant la Brucellos...,A,A,True,0.03
(cochez la réponse juste) Si vous retenez ce diagn...,C,C,True,0.0
"Parmi les explorations suivantes, quelle(s) est (s...",E,E,True,0.0
Lorsqu'un médecin du travail constate chez un sala...,C,"B,E",False,0.0
L'hémoglobine glycosylée :...,B,B,True,0.0
Un nourrisson de 5 mois que vous suivez pour mucov...,B,C,False,0.0
Un de ces signes n'est pas typique d'une sciatique...,E,E,True,0.0
"Une échographie hépato-bitiaire est réalisée.
En ...",E,E,True,0.0
(cochez la réponse juste) Dans les suites post-opé...,C,B,False,0.0
Selon la règle des 9 de Wallace chez l'adulte dans...,C,C,True,0.16
"Parmi les goîtres ci-après, définis par leurs cara...",C,C,True,0.09
Quelle mesure thérapeutique préconisez-vous ?...,E,E,True,0.0
(cochez la réponse juste) Le traitement médical pe...,A,C,False,0.0
"Parmi les signes oculaires suivants, indiquez celu...",B,B,True,0.0
La radiographie du genou droit montre un trait de ...,B,C,False,0.01
"Que comportera l'ordonnance à la sortie :
1. Corti...",B,C,False,0.0
(cochez la réponse juste) Lequel de ces médicament...,E,"B,E",True,0.0
(cochez la réponse fausse) La notion de fièvre éle...,B,D,False,0.38
"Après traitement correct d'une fièvre typhoïde, un...",B,B,True,0.0
La paraphrénie est:...,A,A,True,0.01
Un traitement associant Alkéran® et Prednisone® es...,A,A,True,0.0
(cochez la réponse fausse) La lésion de dégénéresc...,A,A,True,0.0
Parmi les propositions suivantes concernant l'inde...,D,D,True,0.0
(cochez la réponse juste) Une acidose métabolique ...,B,B,True,0.0
(cochez la réponse juste) La (les) conséquence (s)...,E,,False,0.0
"Parmi les diagnostics suivants, lequel retenez-vou...",D,C,False,0.0
"Les résultats des enzymes sériques, effectuées à l...",E,B,False,0.8
Si vous avez opté pour une attitude d'expectative ...,C,C,True,0.0
Un homme de 26 ans est hospitalisé pour une plaie ...,E,A,False,0.0
(cochez la réponse fausse) L'apoptose :...,E,E,True,0.01
Quel germe est habituellement en cause au cours de...,C,D,False,0.08
"Au cours du carcinome in-situ du Col utérin:
1.	Le...",A,A,True,0.0
"A l'examen au spéculum, vous retrouvez une formati...",E,D,False,0.0
"Selon les critères utilisés en obstétrique, une fe...",C,C,True,0.01
"(cochez la réponse juste)
Une échographie abdomin...",B,B,True,0.0
(cochez la réponse juste) Les lésions radiologique...,B,B,True,0.01
"Une hyperchylomicronémie :
1 - Peut être détectée ...",A,A,True,0.0
Chez la femme atteinte d'incontinence urinaire d'e...,B,A,False,0.0
"A la fin de la gestation, la barrière fœto-materne...",A,"A,C",True,0.0
"Pendant une lipothymie, l'enregistrement continu d...",D,D,True,0.0
"Sur la radiographie thoracique, y a-t-il un signe ...",A,B,False,0.0
(cochez la réponse juste) Quel diagnostic évoquez-...,E,"B,D",False,0.0
(cochez la réponse juste) Le paramètre suivant est...,B,"A,B",True,0.0
Le bilan biologique a confirmé la nature choléstat...,A,B,False,0.0
(cochez la réponse fausse) Le programme national d...,B,D,False,0.01
(cochez la réponse juste) Quel bilan radiologique ...,A,C,False,0.0
(cochez la réponse juste) Parmi les radiographies ...,B,B,True,0.0
Un allongement du temps de saignement avec numérat...,A,A,True,0.0
La découverte d'une natrémie à 119 mmol/l dans ce ...,D,D,True,0.0
"Parmi les propositions suivantes, citez pour ce ma...",A,A,True,0.01
Quel traitement préconisez-vous ?	(Cocher l'associ...,A,D,False,0.0
Quel vous parait le risque évolutif le plus sévère...,B,"B,C",True,0.0
Parmi les propositions suivantes caractérisant l'h...,A,A,True,0.0
Des parents accompagnés de leur fille mineure de 1...,A,A,True,0.0
Le premier relais ganglionnaire du testicule est :...,A,A,True,0.0
(cochez la réponse juste) L'anomalie moléculaire a...,E,E,True,0.17
Vous prescrivez immédiatement :...,A,B,False,0.0
L'hérédité multifactorielle obéit aux règles suiva...,C,C,True,0.0
(cochez la réponse juste) Les cardiopathies congén...,C,E,False,0.0
"Parmi les propositions suivantes, laquelle ne s'ap...",B,B,True,0.0
"Dans la liste suivante, quel(s) examen(s) peut(ven...",A,A,True,0.0
"Au 6 et 7ème jour du post-partum, le fond utérin :...",C,C,True,0.0
"Au quinzième jour de traitement, la malade présent...",E,B,False,0.0
Quel est le premier diagnostic à évoquer en présen...,B,"B,E",True,0.0
(cochez la réponse fausse) L'eau totale corporelle...,B,B,True,0.0
Vous diagnostiquez chez ce patient:	(Cochez la rép...,E,"D,E",True,0.01
"(cochez la réponse juste) Un sujet de 53 ans, aux ...",E,"B,C,E",True,0.0
L'incidence d'une maladie M dans une population do...,C,E,False,0.19
Une maladie professionnelle peut être indemnisée à...,C,C,True,0.0
Combien de temps avant le début des symptômes chez...,D,C,False,0.01
(cochez la réponse juste) Le syndrome de la queue ...,A,"A,D,E",True,0.0
Un homme de 50 ans a une douleur isolée mécanique ...,C,E,False,0.0
Un des facteurs suivants inhibe la sécrétion des I...,C,"B,C",True,0.03
