ID,Question,Vraie,IA,Correct,Soutien NLI
21347,"Parmi les maladies suivantes, quelle(s) est(sont) ...","A,B,C,D,E","A,E",False,0.0
3208,"Parmi les critères suivants, lequel ou lesquels a(...","C,D,E","C,D",False,0.0
1120,Devant une tachycardie ventriculaire soutenue et b...,"B,D",B,False,0.0
12201,L'induction enzymatique est une propriété :...,"B,D","B,D",True,0.0
13021,"Au bout de 24 heures, son état s'aggrave. Parmi le...","A,B,C,D","A,B,C",False,0.0
7225,L'anatoxine tétanique est pratiquement applicable ...,"A,E","A,E",True,0.0
6557,Un sujet en coma dépassé :...,"B,E",B,False,0.0
3464,L'IgG3 se distingue des autres sous-classes d'lgG ...,"A,C,D","A,C",False,0.85
6127,Le(s)quel(s) de ces 5 éléments peu(ven)t être incr...,"A,D","A,D",True,0.0
19126,Sur quel(s) élément(s) allez-vous juger de l'effic...,"A,B,D","A,B,D",True,0.0
2815,L'hémogramme d'une anémie de Biermer typique et no...,"A,B,E","B,D,E",False,0.0
8622,Le syndrome de Wallenberg :...,"A,B",A,False,0.0
14434,Un malade présente une insuffisance aortique. Parm...,"B,D","B,D,E",False,0.0
462,Une adénopathie métastatique isolée sus-claviculai...,"B,C","A,E",False,0.0
17562,Quel(s) diagnostic(s) portez-vous ?...,"B,C","B,C",True,0.0
9887,La paralysie du VI droit comporte :...,"C,E",B,False,0.02
3342,Parmi les substances libérées par les Iymphocytes ...,"A,B,C,D","A,B,C",False,0.0
2408,La consanguinité :...,"C,D",D,False,0.03
20201,"Une jeune fille de 16 ans, à la charge des ses par...","A,B,C","A,C",False,0.0
20606,Une telle angine peut se compliquer de:...,"A,C","A,C",True,0.0
14058,"La fréquence de la trisomie 21 est, à la naissance...","A,C",A,False,0.0
9983,Indiquer le(s) facteur(s) qui intervien(nen)t dans...,"C,D","C,E",False,0.0
16764,"Parmi les causes suivantes, éventuellement curable...","B,C","B,C",True,0.0
10086,Lors d'une instillation prolongée d'un collyre cor...,"A,E","A,B",False,0.0
1251,L'hépatomégalie de l'insuffisance cardiaque droite...,"B,D,E","C,D,E",False,0.0
12917,L'initiation de l'antibiothérapie nécessite de vér...,"A,B,C",C,False,0.0
4237,Un malade a une constipation chronique. Parmi ces ...,"A,E","A,D,E",False,0.0
15546,Quelles est ou quelles sont ce (ces) manifestation...,"A,C,D","A,C,D",True,0.0
17424,"Deux mois plus tard, la surveillance portera sur :...","A,B,C","A,D,E",False,0.0
1361,"Au cours d'une péricardite aiguë, l'ECG peut montr...","A,B,C","A,B,C,E",False,0.0
4034,Parmi les propositions suivantes concernant le tra...,"A,D",A,False,0.0
7599,Quel(s) autre(s) signes(s) d'examen pouvez-vous re...,"A,B,C,E","A,B,E",False,0.0
15223,Comment allez-vous transporter idéalement un polyt...,"C,D",C,False,0.0
2837,Un inhibiteur acquis de type anti-prothrombinase e...,"B,C",A,False,0.0
12454,L'auscultation pulmonaire révèle chez un sujet âgé...,"A,D,E","A,D",False,0.0
16851,La séméiologie du syndrome de Cushing comporte cla...,"A,C,D","C,E",False,0.03
8992,Indiquez parmi les symptômes suivants celui ou ceu...,"A,C","A,E",False,0.03
21108,La surveillance fait appel à :...,"A,B,C,D,E","B,C,E",False,0.0
20187,Le séminome pur est une tumeur :...,"B,C,D","B,D",False,0.0
5513,Le ou les signes faisant craindre l'apparition d'u...,"A,B,E","A,B,E",True,0.0
8324,"Parmi les attitudes suivantes, vous choisissez de ...","A,C","A,C",True,0.0
21253,Sur quel(s) signe(s) clinique(s) repose le diagnos...,"A,B","A,B",True,0.0
7488,"Parmi ces streptocoques, le(s)quel(s) est (sont) t...","B,D",B,False,0.0
11724,Le traitement que vous allez proposer devant ce ta...,"D,E",E,False,0.0
13250,"Selon les critères définis par Delay et Deniker, l...","A,B,C,D","B,C",False,0.0
10036,Un scotome central gauche peut relever de :...,"D,E","A,D,E",False,0.64
5188,L'agent responsable du tétanos possède un ou plusi...,"A,D","A,D",True,0.01
17385,"Parmi les éléments suivants, rapportés dans l'obse...","B,C","B,C",True,0.0
12937,Parmi les éléments cliniques suivants quel(s) est(...,"D,E","B,E",False,0.0
13368,Le trouble du langage d'un état démentiel de type ...,"B,D,E",B,False,0.0
12860,"Le cas échéant, une interférence métabolique avec ...","B,D","B,D",True,0.0
15397,"Quels sont, parmi les critères suivants, celui ou ...","A,D,E","A,D,E",True,0.01
8119,Pour préciser la nature de la lacune calicielle et...,"A,B,C,D",E,False,0.0
8757,Vous êtes amené à examiner un patient venant de pr...,"A,D","A,D",True,0.0
14656,Chez un sujet présentant une surdité de transmissi...,"B,C,E",E,False,0.0
8348,"La pression artérielle étant basse, vous pensez tr...","C,E","C,E",True,0.09
6401,"Au titre de la responsabilité médicale, une sancti...","A,B,C","A,B",False,0.0
7002,Pour pouvoir bénéficier d'une prise en charge au t...,"A,C","C,D",False,0.01
15980,Le point de départ d'une embolie pulmonaire peut ê...,"A,B,D","A,D",False,0.0
1646,Tous les intertrigos suivants peuvent être de caus...,"A,C,E","C,D,E",False,0.0
12708,Un syndrome de compression cave supérieure apparaî...,"A,C,D","A,C",False,0.0
18975,Quel(s) est (sont) le(s) signe(s) toujours constat...,"B,C",B,False,0.0
12816,On peut envisager comme traitement :...,"A,B,C,D","B,C",False,0.0
18525,L'épidémiologie de la grippe est caractérisée par ...,"A,B,C,D,E","A,B,C,D,E",True,0.0
19811,Le(s) signe(s) clinique(s) souvent rencontré(s) da...,"A,B,C,D,E","A,B,D,E",False,0.04
15553,Quelles sont les deux associations lésionnelles le...,"B,E","A,B",False,0.0
8730,Une thrombose de la carotide gauche peut se manife...,"A,C,D,E","A,B",False,0.0
1692,"Parmi ces maladies alopéciques, deux peuvent entra...","C,E","C,E",True,0.01
6521,L'interruption de grossesse pour motif thérapeutiq...,"A,B,C","A,B,C",True,0.0
17397,Parmi les manifestations cliniques de cette malade...,"A,B,D","B,C,D",False,0.02
12104,La codéine :...,"A,E","A,B,C,E",False,0.03
5455,"Parmi les thérapeutiques suivantes, quelle(s) est ...","D,E","A,D",False,0.0
4069,Le diagnostic de hernie hiatale par roulement est ...,"A,B","A,B,C",False,0.0
898,"Après le traitement initial, l'enfant reçoit plusi...","A,B,E","A,E",False,0.01
10545,"Parmi les surdités de perception suivantes, 2 sont...","A,E","A,E",True,0.09
18133,"Parmi les examens paracliniques suivants, vous dev...","B,C,D,E","C,D",False,0.0
13660,Quelle(s) médicament(s) prescrit-on pour le traite...,"A,E","B,E",False,0.0
8595,Un collapsus chez un polytraumatisé crânien comate...,"B,D","B,D",True,0.02
11508,"Au plan étiologique, le purpura de cet enfant est ...","A,C,D,E","A,D,E",False,0.0
14574,Quelle est ou quelles sont la ou les artère(s) don...,"B,C,D,E",D,False,0.0
8882,"Quels sont chez un sujet droitier, les signes renc...","A,C,D,E","C,D",False,0.2
7364,"Parmi les caractères suivants, lequel(lesquels) co...","B,C,E","B,C",False,0.0
19863,"Parmi les dermatoses suivantes, quelle(s) est (son...","A,C,D","A,D",False,0.0
19486,Les signes généraux de la maladie de Hodgkin actue...,"A,B,C","A,B,C",True,0.0
18490,Les cellules épithélioïdes :...,"C,D","C,D,E",False,0.59
3358,Parmi les propositions suivantes concernant le tes...,"A,E","A,E",True,0.0
18315,Une menace d'accouchement prématuré est favorisé p...,"A,B,C,D","A,B,D",False,0.0
12719,Les EFR et la gazométrie objectivent :...,"A,E",C,False,0.05
7587,Le diagnostic d'infection à dermatophyte peut être...,"A,E",C,False,0.0
20184,Le virus grippal de type A :...,"B,C",B,False,0.0
20366,Devant une diarrhée aiguë fébrile évoluant depuis ...,"A,C","A,C",True,0.0
11431,"Devant ce tableau, quel(s) argument(s) épidémiolog...","B,D","B,D",True,0.0
22230,"Parmi tous ces éléments, quels sont ceux qui orien...","A,D",A,False,0.0
12459,L'évolution d'un pneumothorax idiopathique de l'ad...,"A,C","B,C",False,0.0
6484,Le médecin pourrait légalement rompre le secret mé...,"B,D,E",D,False,0.0
1271,En faveur du diagnostic d'algie vasculaire de la f...,"A,D","A,D",True,0.0
3811,Quel(s) est (sont) celui (ceux) qui vous permettra...,"B,C","B,C",True,0.0
18197,"Devant une candidose muqueuse, quel(s) médicament(...","B,C,E","C,E",False,0.0
13915,Parmi ces modes d'hébergement pour personnes âgées...,"A,B,E","A,E",False,0.01
9077,"Parmi les signes d'examen suivants, vous devez par...","B,C,E","B,C",False,0.0
